"es.id","study.id","ma.id","ma.doi","topic","additional_topic","g","d","sign.dir","N","n1","n2","es.type","comments","Year","Status","Experiment"
"3659","12318","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.42659999999999998","neg","214","107","107","d","NA","1976","P","Y"
"3660","12319","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","5.7000000000000002E-2","neg","214","107","107","d","NA","1976","P","Y"
"3661","12320","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.18870000000000001","neg","214","107","107","d","NA","1976","P","Y"
"3662","12321","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.39550000000000002","neg","136","68","68","d","NA","1976","P","Y"
"3663","12322","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","6.6199999999999995E-2","pos","136","68","68","d","NA","1976","P","Y"
"3664","12323","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.12839999999999999","pos","136","68","68","d","NA","1976","P","Y"
"3665","12324","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.10249999999999999","neg","174","87","87","d","NA","2015","P","Y"
"3666","12325","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.30059999999999998","pos","174","87","87","d","NA","2015","P","Y"
"3667","12326","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.50980000000000003","neg","35","17","18","d","NA","1988","P","Y"
"3668","12327","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.93879999999999997","pos","35","17","18","d","NA","1988","P","Y"
"3669","12328","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.50760000000000005","neg","71","36","35","d","NA","1988","P","Y"
"3670","12329","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.50829999999999997","neg","56","28","28","d","NA","1988","P","Y"
"3671","12330","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.72430000000000005","pos","56","28","28","d","NA","1988","P","Y"
"3672","12331","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.50829999999999997","neg","74","37","37","d","NA","1988","P","Y"
"3673","12332","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.62419999999999998","pos","74","37","37","d","NA","1988","P","Y"
"3674","12333","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.1825","pos","195","98","97","d","NA","2013","P","Y"
"3675","12334","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.29420000000000002","pos","195","98","97","d","NA","2013","P","Y"
"3676","12335","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.45500000000000002","pos","195","98","97","d","NA","2013","P","Y"
"3677","12336","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.42299999999999999","pos","195","98","97","d","NA","2013","P","Y"
"3678","12337","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.22950000000000001","pos","195","98","97","d","NA","2013","P","Y"
"3679","12338","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.19109999999999999","pos","195","98","97","d","NA","2013","P","Y"
"3680","12339","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.31640000000000001","pos","87","44","43","d","NA","2013","P","Y"
"3681","12340","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.6744","pos","87","44","43","d","NA","2013","P","Y"
"3682","12341","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","5.7500000000000002E-2","neg","87","44","43","d","NA","2013","P","Y"
"3683","12342","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.93279999999999996","pos","87","44","43","d","NA","2013","P","Y"
"3684","12343","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.18110000000000001","pos","87","44","43","d","NA","2013","P","Y"
"3685","12344","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.45829999999999999","pos","87","44","43","d","NA","2013","P","Y"
"3686","12345","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.96830000000000005","pos","87","44","43","d","NA","2013","P","Y"
"3687","12346","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.70150000000000001","pos","87","44","43","d","NA","2013","P","Y"
"3688","12347","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.51590000000000003","pos","87","44","43","d","NA","2013","P","Y"
"3689","12348","2202d","10.1177/1088868319891310","Prejudice",NA,"NA","0.14649999999999999","pos","87","44","43","d","NA","2013","P","Y"
